X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
-85.7170093299999,32.14663511,11,0008236089,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,NOT AVAILABLE,(334) 738-2140,GENERAL ACUTE CARE,OPEN,61,BULLOCK,01011,USA,32.14663511,-85.71700933,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,NOT AVAILABLE,H0601,NOT AVAILABLE,01,PROPRIETARY,-999,61,NOT AVAILABLE,N
-85.71214861,32.44521832,12,0001636083,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL ROAD,TUSKEGEE,AL,36083,NOT AVAILABLE,(334) 727-0550,GENERAL ACUTE CARE,OPEN,143,MACON,01087,USA,32.44521832,-85.71214861,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2015/05/13 00:00:00+00,NOT AVAILABLE,H4401,NOT AVAILABLE,01,NOT AVAILABLE,-999,143,NOT AVAILABLE,Y
-86.8051591399999,33.5040481500001,14,0000735233,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,1711,(205) 638-9100,CHILDREN,OPEN,332,JEFFERSON,01073,USA,33.50404815,-86.80515914,622110,"CHILDREN'S HOSPITALS, GENERAL",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.childrensal.org,H3704,NOT AVAILABLE,01,NON-PROFIT,-999,332,LEVEL I,Y
-88.20949244,32.0931053400001,15,0002836904,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,BUTLER,AL,36904,NOT AVAILABLE,(205) 459-9100,CRITICAL ACCESS,OPEN,25,CHOCTAW,01023,USA,32.09310534,-88.20949244,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY,2013/09/09 00:00:00+00,http://www.choctawgeneral.com/cgh/,H1201,NOT AVAILABLE,01,NON-PROFIT,-999,25,NOT AVAILABLE,Y
-86.0907834,33.4402768200001,16,0003035161,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE, PO BOX 978",TALLADEGA,AL,35161,NOT AVAILABLE,(205) 820-5930,GENERAL ACUTE CARE,OPEN,122,TALLADEGA,01121,USA,33.44027682,-86.0907834,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.bhsala.com/home_citizens.cfm?id=38,H6101,NOT AVAILABLE,01,PROPRIETARY,-999,122,LEVEL III,Y
-85.8239827799999,33.2775639400001,17,0003236251,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9, PO BOX 1270",ASHLAND,AL,36251,NOT AVAILABLE,(256) 354-2131,GENERAL ACUTE CARE,OPEN,53,CLAY,01027,USA,33.27756394,-85.82398278,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2013/09/09 00:00:00+00,http://www.claycountyhospital.com,H1401,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,53,NOT AVAILABLE,Y
-85.91224661,32.53390983,18,0003336078,"COMMUNITY HOSPITAL, INC",805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,1225,(334) 283-6541,GENERAL ACUTE CARE,OPEN,69,ELMORE,01051,USA,32.53390983,-85.91224661,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://chal.org/,H2602,NOT AVAILABLE,01,NON-PROFIT,-999,69,LEVEL III,Y
-86.25548758,33.1645602300001,19,0003435150,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,NOT AVAILABLE,(256) 401-4534,GENERAL ACUTE CARE,OPEN,168,TALLADEGA,01121,USA,33.16456023,-86.25548758,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.cvhealth.net,H6102,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,168,LEVEL III,N
-86.2650457,31.69354407,20,0003536049,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,NOT AVAILABLE,(334) 335-1154,GENERAL ACUTE CARE,OPEN,65,CRENSHAW,01041,USA,31.69354407,-86.2650457,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,NOT AVAILABLE,H2101,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,65,NOT AVAILABLE,Y
-86.5721715399999,34.6936114000001,21,0008435801,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DRIVE,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 429-5000,GENERAL ACUTE CARE,OPEN,180,MADISON,01089,USA,34.6936114,-86.57217154,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY,2013/10/02 00:00:00+00,NOT AVAILABLE,H4501,NOT AVAILABLE,01,PROPRIETARY,-999,180,LEVEL III,N
-86.28134483,32.32346327,22,0091036116,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,4385 NARROW LANE ROAD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 286-3116,PSYCHIATRIC,OPEN,60,MONTGOMERY,01101,USA,32.32346327,-86.28134483,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2015/02/03 00:00:00+00,NOT AVAILABLE,H5111,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,60,NOT AVAILABLE,N
-86.80572957,34.2013272,23,0003735055,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,NOT AVAILABLE,(256) 737-2598,GENERAL ACUTE CARE,OPEN,150,CULLMAN,01043,USA,34.2013272,-86.80572957,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.crmchospital.com,H2201,NOT AVAILABLE,01,NON-PROFIT,-999,150,LEVEL III,Y
-87.0734993,31.1270339100001,24,0003836427,D. W. MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE, PO DRAWER 908",BREWTON,AL,36427,NOT AVAILABLE,(251) 867-8061,GENERAL ACUTE CARE,OPEN,91,ESCAMBIA,01053,USA,31.12703391,-87.0734993,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.dwmmh.org,H2703,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,91,LEVEL III,Y
-85.63208804,31.4515766600001,25,0000836360,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,36360,NOT AVAILABLE,(334) 774-2224,GENERAL ACUTE CARE,OPEN,89,DALE,01045,USA,31.45157666,-85.63208804,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.dalemedical.org,H2301,NOT AVAILABLE,01,GOVERNMENT - LOCAL,-999,89,LEVEL III,Y
-87.52741947,33.2048205300001,26,0000935401,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 759-7147,GENERAL ACUTE CARE,OPEN,583,TUSCALOOSA,01125,USA,33.20482053,-87.52741947,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.dchsystem.com,H6301,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,583,LEVEL III,Y
-86.9714815299999,34.59034409,27,0003935601,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 SEVENTH STREET SOUTHEAST,DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,GENERAL ACUTE CARE,OPEN,273,MORGAN,01103,USA,34.59034409,-86.97148153,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.decaturgeneral.org/,H5202,NOT AVAILABLE,01,PROPRIETARY,-999,273,LEVEL III,Y
-87.0158086599999,34.57689679,28,0001035601,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,1874 BELTLINE ROAD SW,DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,GENERAL ACUTE CARE,OPEN,120,MORGAN,01103,USA,34.57689679,-87.01580866,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2013/10/02 00:00:00+00,http://www.decaturgeneral.org/,H5201,NOT AVAILABLE,01,PROPRIETARY,-999,120,NOT AVAILABLE,N
-87.02541659,34.58368232,29,0001135601,DECATUR MORGAN WEST,"2205 BELTLINE ROAD SW, PO BOX 2240",DECATUR,AL,35601,NOT AVAILABLE,(256) 973-2000,PSYCHIATRIC,OPEN,64,MORGAN,01103,USA,34.58368232,-87.02541659,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY,2013/09/03 00:00:00+00,http://www.decaturgeneral.org/,H5206,NOT AVAILABLE,01,PROPRIETARY,-999,64,NOT AVAILABLE,N
-85.7562183699999,34.44127984,30,0004135968,DEKALB REGIONAL MEDICAL CENTER,"200 MEDICAL CENTER DRIVE, PO BOX 680778",FORT PAYNE,AL,35968,1608,(256) 845-3150,GENERAL ACUTE CARE,OPEN,134,DEKALB,01049,USA,34.44127984,-85.75621837,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.dekalbregional.com,H2501,NOT AVAILABLE,01,PROPRIETARY,-999,134,LEVEL III,Y
-85.16870267,32.8245981100001,31,0005036854,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,3666,(334) 756-9180,GENERAL ACUTE CARE,OPEN,115,CHAMBERS,01017,USA,32.82459811,-85.16870267,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.lanierhospital.com,H0904,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,115,NOT AVAILABLE,Y
-85.4044747899999,32.63852487,32,0001236801,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,NOT AVAILABLE,(334) 749-3411,GENERAL ACUTE CARE,OPEN,314,LEE,01081,USA,32.63852487,-85.40447479,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.eamc.org,H4101,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,314,LEVEL III,Y
-87.8951390999999,30.6352891500001,33,0004336526,EASTPOINTE HOSPITAL,7400 ROPER LANE,DAPHNE,AL,36526,NOT AVAILABLE,(251) 450-5901,PSYCHIATRIC,OPEN,66,BALDWIN,01003,USA,30.63528915,-87.8951391,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY,2014/02/10 00:00:00+00,http://www.altapointe.org/eastpointe.php,H4913,NOT AVAILABLE,01,PROPRIETARY,-999,66,NOT AVAILABLE,N
-86.18639645,32.5522669700001,34,0004536092,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE, PO BOX 130",WETUMPKA,AL,36092,NOT AVAILABLE,(256) 825-7821,GENERAL ACUTE CARE,OPEN,69,ELMORE,01051,USA,32.55226697,-86.18639645,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2013/09/06 00:00:00+00,http://www.elmorehospital.com/,H2601,NOT AVAILABLE,01,PROPRIETARY,-999,69,NOT AVAILABLE,Y
-86.78833499,33.46911585,35,0005835209,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,NOT AVAILABLE,(205) 868-2000,REHABILITATION,OPEN,100,JEFFERSON,01073,USA,33.46911585,-86.78833499,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2013/09/05 00:00:00+00,http://www.healthsouthlakeshorerehab.com,H3709,NOT AVAILABLE,01,PROPRIETARY,-999,100,NOT AVAILABLE,N
-85.3658126299999,31.2179119100001,36,0002236301,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,DOTHAN,AL,36301,NOT AVAILABLE,(334) 712-6333,REHABILITATION,OPEN,51,HOUSTON,01069,USA,31.21791191,-85.36581263,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/03/12 00:00:00+00,http://www.healthsouthdothan.com,H3504,NOT AVAILABLE,01,PROPRIETARY,-999,51,NOT AVAILABLE,Y
-85.96848844,34.00674122,37,0005935903,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,801 GOODYEAR AVENUE,GADSDEN,AL,35903,NOT AVAILABLE,(256) 439-5000,REHABILITATION,OPEN,48,ETOWAH,01055,USA,34.00674122,-85.96848844,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2013/09/06 00:00:00+00,http://www.healthsouthgadsden.com/,H2804,NOT AVAILABLE,01,PROPRIETARY,-999,48,NOT AVAILABLE,Y
-86.2807098,32.3191069800001,38,0002336116,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,MONTGOMERY,AL,36116,NOT AVAILABLE,(334) 284-7700,REHABILITATION,OPEN,75,MONTGOMERY,01101,USA,32.31910698,-86.2807098,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.healthsouthmontgomery.com,H5101,NOT AVAILABLE,01,PROPRIETARY,-999,75,NOT AVAILABLE,N
-86.57986887,34.71920943,39,0090235801,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH ALABAMA,107 GOVERNORS DRIVE SW,HUNTSVILLE,AL,35801,NOT AVAILABLE,(256) 535-2300,REHABILITATION,OPEN,70,MADISON,01089,USA,34.71920943,-86.57986887,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2015/02/03 00:00:00+00,NOT AVAILABLE,H4502,NOT AVAILABLE,01,PROPRIETARY,-999,70,NOT AVAILABLE,Y
-86.7988099999999,33.2832999,40,0196784285,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY COUNTY,900 OAK MOUNTAIN COMMONS LANE,PELHAM,AL,35124,NOT AVAILABLE,(205) 216-7600,REHABILITATION,OPEN,34,SHELBY,01117,USA,33.2832999,-86.79881,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",https://dph1.adph.state.al.us/FacilitiesDirectoryReports/Reports/ReportDirectoryExcelExport-2021-10-19-1245007191115.xls,2021/10/19 00:00:00+00,IMAGERY/OTHER,2022/04/01 00:00:00+00,NOT AVAILABLE,H5903,NOT AVAILABLE,01,PROPRIETARY,-999,34,NOT AVAILABLE,N
