,full address,NPI,Site Name,Address,Room/Suite,Town/City,CountyFIPS,County Name,State,Zip Code,Latitude,Longitude,Area code,Phone number,Designated Service,License Number/Facility Operating Certificate,PFI,Medicaid Provider Identification Number,Commercial Provider Indicator,Medicaid Provider Indicator,CHP Indicator,HARP Indicator,Medicaid Advantage Indicator,Partial CAPS Indicator,MAP Indicator,PACE Indicator,FIDA Indicator,FIDAIDD Indicator,HIVSNP Indicator=,SIP-PL Indicator,NYSOH Standard Essential Health Plan (EP) Indicator/Basic Health Program Indicator,NYSOH EP Plus Adult Vision/Dental Indicator/Basic Health Program Adult Indicator,Commercial Non-MCO Medical Indicator 1,Commercial Non-MCO Medical Indicator 2,Commercial Non-MCO Medical Indicator 3,Commercial Non-MCO Medical Indicator 4,Commercial Non-MCO Medical Indicator 5,Commercial Non-MCO Medical Indicator 6,Commercial Non-MCO Medical Indicator 7,Commercial Non-MCO Medical Indicator 8,Service 1,Service 2,Service 3,Service 4,Service 5,Service 6,Service 7,Service 8,Service 9,Service 10,Service 11,Service 12,Service 13,Service 14,Service 15,Service 16,Service 17,Service 18,Service 19,Service 20,Service 21,Service 22,Service 23,Service 24,Service 25,NYSoH Medical Network Indicator 1,NYSoH Medical Network Indicator 2,NYSoH Medical Network Indicator 3,NYSoH Medical Network Indicator 4,NYSoH Medical Network Indicator 5,NYSoH Medical Network Indicator 6,NYSoH Medical Network Indicator 7,NYSoH Medical Network Indicator 8,NYSoH Medical Network Indicator 9,Servicing County 1,Servicing County 2,Servicing County 3,Servicing County 4,Servicing County 5,OASAS Program Reporting Unit Number,OASAS Provider Number,OMH ID,Plan Name,Provider Network Data System Identification Number,Quarter/Year,geometry,type
19,"1009 E 163RD ST Suite A, BRONX, NY 10459",1841607298,ESSEN MEDICAL URGICARE PLLC DBA METRO URGICARE,1009 E 163RD ST,Suite A,BRONX,36005,Bronx,NY,10459,40.821164,-73.891453,718,5612900,823,,,4003843,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Centers Plan for Healthy Living LLC,96,Quarter 1 2021,POINT (309157.2080853285 72685.24587805338),NPI-2
21,"1011 49TH AVE, LONG ISLAND CIT, NY 11101",1447455589,FOREST URGENT CARE CENTER,1011 49TH AVE,,LONG ISLAND CIT,36081,Queens,NY,11101,40.743338,-73.952748,718,2686808,823,0,999999,99999999,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (303990.91034619365 64038.137302805364),NPI-2
23,"102 29 QUEENS BLVD, FOREST HILLS, NY 11375",9999999999,NORTH SHORE - LIJ URGENT CARE,102 29 QUEENS BLVD,,FOREST HILLS,36081,Queens,NY,11375,40.734086,-73.847576,516,4730782,914,,,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,300,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,New York Student Health Plan,221,Quarter 1 2021,POINT (312875.5838912228 63020.854769810416),na - exempt or not present
24,"10201 66TH RD, FOREST HILLS, NY 11375",1225003221,Northwell Healthcare Cntre,10201 66TH RD,,FOREST HILLS,36081,Queens,NY,11375,40.728795,-73.851158,516,3047242,914,7003004H,1638,2529591,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (312574.003402437 62432.77718604173),NPI-2
25,"10202 LIBERTY AVE, OZONE PARK, NY 11417",1558980748,CITY MED OF UPPER E SIDE,10202 LIBERTY AVE,,OZONE PARK,36081,Queens,NY,11417,40.681362,-73.838417,718,5719265,823,0,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Empire BC/ Empire BCBS/ Empire HealthChoice HMO Inc,57,Quarter 1 2021,POINT (313660.0703148627 57167.35034571559),NPI-2
26,"10229 QUEENS BLVD, FOREST HILLS, NY 11375",1033536297,NORTH SHORE-LIJ URGENT CARE,10229 QUEENS BLVD,,FOREST HILLS,36081,Queens,NY,11375,40.725743,-73.850579,718,5029798,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (312623.49515711266 62093.94119811956),NPI-2
27,"10234 ATLANTIC AVE, OZONE PARK, NY 11416",1750712220,210 MJD MED PLLC DBA SILVER STAR UC,10234 ATLANTIC AVE,,OZONE PARK,36081,Queens,NY,11416,40.689756,-73.842383,929,2079977,823,234496,0,4487707,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Healthfirst Health Plan, Inc. / Healthfirst PHSP, Inc.",52,Quarter 1 2021,POINT (313323.11051665037 58098.87274791991),NPI-2
28,"10323 114TH ST, SOUTH RICHMOND, NY 11419",1548217763,FLUSHING HOSPITAL MEDICAL CENTER,10323 114TH ST,,SOUTH RICHMOND,36081,Queens,NY,11419,40.685982,-73.828599,718,6746336,914,,,1780354,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (314489.06975213054 57681.969436925276),NPI-2
30,"1039 46TH ST FL 2, BROOKLYN, NY 11219",1982708202,MMC EMERGENCY PHYSICIANS FPP,1039 46TH ST,FL 2,BROOKLYN,36047,Kings,NY,11219,40.640248,-73.995968,718,2836451,914,,,1619070,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (300341.0705815104 52589.12016814799),NPI-2
31,"1041 E 83RD ST, BROOKLYN, NY 11236",1184878274,AVAHA MEDICAL & REHABILITATION LLC,1041 E 83RD ST,,BROOKLYN,36047,Kings,NY,11236,40.634479,-73.90811,917,2820033,979,7001123R,,3060524,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200,281,283,300,301,302,311,328,599,680,716,780,781,823,901,911,918,919,958,963,964,974,979,983,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (307773.7587363025 51952.57612589334),NPI-2
32,"1047 SOUTHERN BLVD, BRONX, NY 10459",1477197796,CITY MED OF UPPER E SIDE,1047 SOUTHERN BLVD,,BRONX,36005,Bronx,NY,10459,40.824056,-73.892124,646,3467920,823,0,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Empire Healthchoice Assurance, Inc",100,Quarter 1 2021,POINT (309100.2056641382 73006.33141571224),NPI-2
33,"1047 SURF AVE, BROOKLYN, NY 11224",1932619608,SPECIALTY INFUSION,1047 SURF AVE,,BROOKLYN,36047,Kings,NY,11224,40.575694,-73.979038,212,7769090,250,,,3809249,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Healthfirst Health Plan, Inc. / Healthfirst PHSP, Inc.",52,Quarter 1 2021,POINT (301774.9278688358 45420.801970117085),NPI-2
34,"10470 QUEENS BLVD, FOREST HILLS, NY 11375",1801949706,"BLEULER PSYCHOTHERAPY CENTER, INC.",10470 QUEENS BLVD,,FOREST HILLS,36081,Queens,NY,11375,40.722914,-73.848308,718,2756010,914,6676100A,,244266,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,281,371,749,780,901,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,52521,15300,006676100A,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (312815.89988385414 61780.115845773726),NPI-2
35,"1049 MORRIS PARK AVE, BRONX, NY 10461",1285975797,MORRIS PARK URGENT CARE,1049 MORRIS PARK AVE,,BRONX,36005,Bronx,NY,10461,40.848735,-73.855208,929,7779082,823,99999999,999999,6106376,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Partners Health Plan,78,Quarter 1 2021,POINT (312209.840552984 75751.42772619016),NPI-2
36,"1050 CLOVE RD, STATEN ISLAND, NY 10301",1063954113,RAPID ACCESS CARE @ ACP,1050 CLOVE RD,,STATEN ISLAND,36085,Richmond,NY,10301,40.619615,-74.108024,718,8163110,823,,,99999999,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (290859.3145644531 50303.497296877846),NPI-2
37,"1055 E TREMONT AVE, BRONX, NY 10460",1952476988,MONTEFIORE MEDICAL CENTER,1055 E TREMONT AVE,,BRONX,36005,Bronx,NY,10460,40.8404,-73.879983,718,8428040,823,,,2998167,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (310121.9109792442 74822.6636406701),NPI-2
38,"106 LIBERTY ST, NEW YORK, NY 10006",1306837398,NYU LANGONE MEDHATTAN,106 LIBERTY ST,,NEW YORK,36061,New York,NY,10006,40.709677,-74.011993,646,4612544,823,0,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Empire Healthchoice Assurance, Inc",100,Quarter 1 2021,POINT (298986.5385006138 60299.115921585195),NPI-2
39,"10706 LIBERTY AVE, OZONE PARK, NY 11417",1558799395,EASTCHESTER URGENT CARE,10706 LIBERTY AVE,,OZONE PARK,36081,Queens,NY,11417,40.683231,-73.834316,914,3953691,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Jefferson-Lewis Et. Al. School Employees’ Healthcare Plan DBA Jefferson Lewis Choice Plus Network,212,Quarter 1 2021,POINT (314006.3719610782 57375.546623292714),NPI-2
40,"109 MONTAGUE ST, BROOKLYN, NY 11201",1083082069,MONTAGUE URGENT MEDICAL CARE P.C,109 MONTAGUE ST,,BROOKLYN,36047,Kings,NY,11201,40.695117,-73.994951,718,5223383,823,,,1822499,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (300426.7377370163 58682.20147978744),NPI-2
41,"1095 FLATBUSH AVE, BROOKLYN, NY 11226",1720028772,BHMC PHYSICIANS,1095 FLATBUSH AVE,,BROOKLYN,36047,Kings,NY,11226,40.643787,-73.957674,718,2408800,823,,,610013,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (303580.21667239896 52982.981716219976),NPI-2
42,"110 W 14TH ST 1ST FLOOR, NEW YORK, NY 10011",1457614265,UNION SQUARE URGENT MEDICAL CARE PC,110 W 14TH ST,1ST FLOOR,NEW YORK,36061,New York,NY,10011,40.737465,-73.997453,212,2424333,999,,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Consolidated Health Plans: MagnaCare,169,Quarter 1 2021,POINT (300215.1191939185 63384.8689850005),NPI-2
47,"111 BROADWAY 2, NEW YORK, NY 10006",1285826438,NYU EMERGENCY MEDICINE ASSOCIATES,111 BROADWAY 2,,NEW YORK,36061,New York,NY,10006,40.709365,-74.013544,212,2563539,914,99999999,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,40,60,64,66,68,69,120,150,200,201,202,604,778,905,927,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (298855.4688387938 60264.487533000014),NPI-2
48,"111 BROADWAY Fl 2, NEW YORK, NY 10006",1629443122,NYU LANGONE URGENT CARE AT TRINITY,111 BROADWAY,Fl 2,NEW YORK,36061,New York,NY,10006,40.708423,-74.011369,646,4612544,823,99999999,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.: QHP",149,Quarter 1 2021,POINT (299039.250655618 60159.85454923994),NPI-2
51,"111 E 210TH ST, BRONX, NY 10467",1952476988,MONTEFIORE MEDICAL CENTER,111 E 210TH ST,,BRONX,36005,Bronx,NY,10467,40.880022,-73.880483,718,9204321,11,7000006H,1169,2998167,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,200,300,301,302,966,408,599,616,640,741,749,823,899,913,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,999,999,999,999,9999999999,9999999999,6577020,New York Quality Healthcare Corporation,44,Quarter 1 2021,POINT (310073.7372091027 79222.64275707828),NPI-2
52,"1110 EASTERN PKWY, BROOKLYN, NY 11213",1104112838,KINGSBROOK MEDICAL ASSOCIATES,1110 EASTERN PKWY,,BROOKLYN,36047,Kings,NY,11213,40.668484,-73.931745,718,7351900,914,,,3377626,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (305771.32512773556 55726.910779726866),NPI-2
54,"1110 PENNSYLVANIA AVE STE 5, BROOKLYN, NY 11207",1326229022,NY Urgent Care,1110 PENNSYLVANIA AVE,STE 5,BROOKLYN,36047,Kings,NY,11207,40.653506,-73.887149,718,2722272,823,224024,,3307691,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,999,999,999,999,999,,,,"Health Insurance Plan of Greater New York, Inc.",50,Quarter 1 2021,POINT (309544.30301203794 54067.54847332417),NPI-2
58,"1111 AMSTERDAM AVE, NEW YORK, NY 10025",1104982917,MS ST. LUKE'S AND ROOSEVELT,1111 AMSTERDAM AVE,,NEW YORK,36061,New York,NY,10025,40.80582,-73.96158,212,5234000,11,7002032H,1469,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,899,20,80,92,150,155,160,200,201,300,301,302,303,355,408,599,640,650,652,674,901,906,911,913,993,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (303241.9091724737 70976.32833247719),NPI-2
60,"11120 MERRICK BLVD, JAMAICA, NY 11433",1477505220,JAMAICA HOSPITAL/ER DEPT,11120 MERRICK BLVD,,JAMAICA,36081,Queens,NY,11433,40.694079,-73.781425,718,2069888,914,7003001H,,1616320,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (318474.5888045623 58590.00575407184),NPI-2
61,"11201 75TH AVE APT 1, FOREST HILLS, NY 11375",1447455589,FOREST URGENT CARE CENTER,11201 75TH AVE,APT 1,FOREST HILLS,36081,Queens,NY,11375,40.719156,-73.83717,718,2686808,250,99999999,0,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Aetna Life Insurance Company: Managed Pharmacy PPO,197,Quarter 1 2021,POINT (313757.6849901369 61364.4878960658),NPI-2
63,"1143 LEXINGTON AVE, NEW YORK, NY 10075",1508400813,CITY MED OF UPPER E SIDE,1143 LEXINGTON AVE,,NEW YORK,36061,New York,NY,10075,40.775053,-73.958619,646,3504815,823,0,999999,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Empire Healthchoice Assurance, Inc",100,Quarter 1 2021,POINT (303493.37688818964 67559.79450459538),NPI-2
